"ID","lat","long","start.date","end.date","min.band","max.band","mean.band","sd.band","band.yield","no.fill.data","poor.quality.data"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2639,0.5722,0.386366285190233,0.0602083650660292,NA,"0% (0/69)","47.83% (33/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2892,0.6231,0.458381050924263,0.0754588517292932,NA,"0% (0/69)","47.83% (33/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.4738,0.6742,0.558559854124264,0.0363400131258578,NA,"0% (0/69)","47.83% (33/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2941,0.6742,0.495657166795295,0.0692826188062254,NA,"0% (0/69)","49.28% (34/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2138,0.4933,0.353367358897371,0.0775929347948582,NA,"0% (0/69)","53.62% (37/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2224,0.4933,0.348983354602614,0.0739500918018034,NA,"0% (0/69)","53.62% (37/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.234,0.4895,0.377862993427597,0.0635688993997836,NA,"0% (0/69)","53.62% (37/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.26,0.605,0.407670466470891,0.0767820400442199,NA,"0% (0/69)","52.17% (36/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2722,0.5828,0.401176445079913,0.0660185758207882,NA,"0% (0/69)","49.28% (34/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2881,0.5781,0.426623015981059,0.0714589833262867,NA,"0% (0/69)","47.83% (33/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.3487,0.6037,0.492379119171786,0.0639341612110035,NA,"0% (0/69)","47.83% (33/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.4167,0.6101,0.504267490858038,0.0490143646546158,NA,"0% (0/69)","49.28% (34/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2435,0.6101,0.41707712621056,0.0756983968848789,NA,"0% (0/69)","49.28% (34/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2334,0.5275,0.347120226409683,0.0744104357504206,NA,"0% (0/69)","53.62% (37/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2213,0.4895,0.346768515210771,0.0718290806266958,NA,"0% (0/69)","53.62% (37/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2676,0.5417,0.401366951970635,0.0688111518767295,NA,"0% (0/69)","52.17% (36/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.215,0.5699,0.384388610487602,0.0878717540515991,NA,"0% (0/69)","52.17% (36/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2049,0.4918,0.345426636343213,0.0700369427942851,NA,"0% (0/69)","52.17% (36/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2144,0.5005,0.357259890537619,0.0706168849617761,NA,"0% (0/69)","49.28% (34/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2617,0.5951,0.421221199456287,0.0798349231769655,NA,"0% (0/69)","49.28% (34/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.3098,0.5782,0.443907332716827,0.0476611390542275,NA,"0% (0/69)","49.28% (34/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2581,0.5828,0.433576124052158,0.072906461954643,NA,"0% (0/69)","49.28% (34/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.23,0.5107,0.344565366198358,0.0734888540960288,NA,"0% (0/69)","53.62% (37/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.23,0.4715,0.328620045806651,0.0619461409700895,NA,"0% (0/69)","53.62% (37/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2258,0.5427,0.366475559449455,0.0723320708657866,NA,"0% (0/69)","52.17% (36/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2313,0.5427,0.367189847606678,0.0735960107519546,NA,"0% (0/69)","52.17% (36/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.1941,0.479,0.331367098745705,0.0667049644121644,NA,"0% (0/69)","50.72% (35/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2198,0.5546,0.360946086342718,0.0742213059107288,NA,"0% (0/69)","49.28% (34/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2555,0.6001,0.420063225518388,0.0753906607377884,NA,"0% (0/69)","49.28% (34/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2471,0.5699,0.404528101799018,0.072421530978303,NA,"0% (0/69)","50.72% (35/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2436,0.5172,0.383353743041055,0.0771576427279526,NA,"0% (0/69)","49.28% (34/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2447,0.5604,0.391409252908976,0.0814217191790919,NA,"0% (0/69)","55.07% (38/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.1872,0.5032,0.322920992774455,0.0693733612417173,NA,"0% (0/69)","55.07% (38/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2099,0.4566,0.311481149855227,0.0517223978656859,NA,"0% (0/69)","55.07% (38/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2381,0.5779,0.377014880516279,0.0669157139823543,NA,"0% (0/69)","55.07% (38/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2537,0.5779,0.395495969298879,0.0674377240296464,NA,"0% (0/69)","52.17% (36/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.2598,0.6118,0.420696568677405,0.0760322039960965,NA,"0% (0/69)","53.62% (37/69)"
"Lat51.4017666666667Lon-0.633633333333333Start2004-01-01End2006-12-31",51.4017666666667,-0.633633333333333,2004-01-01,2006-12-19,0.289,0.6271,0.449846008952916,0.0770741564501465,NA,"0% (0/69)","53.62% (37/69)"
